store_id,store_name,brand_id,city,region,channel,subsidiary_company,opening_year,closing_year,status,renovation_months
STR-0001,BrewStar - Pontianak,BRND-001,Pontianak,West Kalimantan,Offline,Gourmetia,2001,2005.0,closed,[1]
STR-0002,BrewStar - Surakarta,BRND-001,Surakarta,Central Java,Offline,Gourmetia,2006,,active,[]
STR-0003,BrewStar - Bandung,BRND-001,Bandung,West Java,Offline,Gourmetia,2007,,active,[]
STR-0004,BrewStar - Mamuju,BRND-001,Mamuju,West Sulawesi,Offline,Gourmetia,2010,,active,[]
STR-0005,BrewStar - Tanjung Selor,BRND-001,Tanjung Selor,North Kalimantan,Offline,Gourmetia,2011,,active,[]
STR-0006,BrewStar - Cirebon,BRND-001,Cirebon,West Java,Offline,Gourmetia,2025,,active,[]
STR-0007,BrewStar - Bogor,BRND-001,Bogor,West Java,Offline,Gourmetia,2012,,active,[3]
STR-0008,Burger Monarch - Sorong,BRND-002,Sorong,Southwest Papua,Offline,Gourmetia,2019,,active,[]
STR-0009,Burger Monarch - Semarang,BRND-002,Semarang,Central Java,Offline,Gourmetia,2001,,active,[]
STR-0010,FrostRock - Gorontalo City,BRND-003,Gorontalo City,Gorontalo,Offline,Gourmetia,2002,,active,[]
STR-0011,FrostRock - Makassar,BRND-003,Makassar,South Sulawesi,Offline,Gourmetia,2017,2024.0,closed,[]
STR-0012,FrostRock - Denpasar,BRND-003,Denpasar,Bali,Offline,Gourmetia,2002,,active,[12]
STR-0013,FrostRock - Denpasar,BRND-003,Denpasar,Bali,Offline,Gourmetia,2024,,active,"[6, 7, 8]"
STR-0014,Dominoza - Jakarta,BRND-004,Jakarta,DKI Jakarta,Offline,Gourmetia,2023,,active,[]
STR-0015,Dominoza - Jakarta,BRND-004,Jakarta,DKI Jakarta,Offline,Gourmetia,2024,,active,[]
STR-0016,Dominoza - Banjarmasin,BRND-004,Banjarmasin,South Kalimantan,Offline,Gourmetia,2014,,active,[8]
STR-0017,Dominoza - Jakarta,BRND-004,Jakarta,DKI Jakarta,Offline,Gourmetia,2002,2009.0,closed,[]
STR-0018,Dominoza - Jakarta,BRND-004,Jakarta,DKI Jakarta,Offline,Gourmetia,2023,,active,[]
STR-0019,Dominoza - Semarang,BRND-004,Semarang,Central Java,Offline,Gourmetia,2015,,active,[]
STR-0020,Dominoza - Sidoarjo,BRND-004,Sidoarjo,East Java,Offline,Gourmetia,2011,,active,"[1, 2, 3]"
STR-0021,Pizza Palazzo - Depok,BRND-005,Depok,West Java,Offline,Gourmetia,2023,,active,"[11, 12, 1]"
STR-0022,Pizza Palazzo - Semarang,BRND-005,Semarang,Central Java,Offline,Gourmetia,2015,,active,[]
STR-0023,Pizza Palazzo - Cirebon,BRND-005,Cirebon,West Java,Offline,Gourmetia,2016,,active,[]
STR-0024,Pizza Palazzo - Malang,BRND-005,Malang,East Java,Offline,Gourmetia,2006,,active,[]
